Name,[features]
Addax,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=14.816715,queryMatchMigratory=0.0,queryMatchText=4.5621343,originalScore=6.843201"
Agama Lizard,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=7.591515,queryMatchMigratory=0.0,queryMatchText=5.8664627,originalScore=8.799694"
Dik Dik,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=6.504445,queryMatchMigratory=0.0,queryMatchText=5.102253,originalScore=7.6533794"
Wolf,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=6.1572514,queryMatchMigratory=0.0,queryMatchText=3.747151,originalScore=5.620726"
Appenzeller Dog,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=5.685827,queryMatchMigratory=0.0,queryMatchText=3.8757024,originalScore=5.8135533"
Lion,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=5.4128084,queryMatchMigratory=0.0,queryMatchText=4.063377,originalScore=6.0950656"
Lace Monitor,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=4.229241,queryMatchMigratory=0.0,queryMatchText=4.860851,originalScore=7.2912765"
Rhesus Macaque,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=3.2243152,queryMatchMigratory=0.0,queryMatchText=5.592062,originalScore=8.388093"
Polish Lowland Sheepdog,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=5.309623,queryMatchMigratory=0.0,queryMatchText=3.6903381,originalScore=5.535507"
Rodents,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=5.0395713,queryMatchMigratory=0.0,queryMatchText=3.8325841,originalScore=5.748876"
Lakeland Terrier,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=4.8366337,queryMatchMigratory=0.0,queryMatchText=3.7790108,originalScore=5.668516"
