Name,score
Keagle,5.0
Nova Scotia Duck Tolling Retriever,5.0
Wirehaired Vizsla,5.0
Beaski,5.0
English Foxhound,5.0
Pitsky,3.0
Blue Picardy Spaniel,5.0
Ainu,5.0
Pointer Mix,5.0
Spanador,5.0
Labahoula,5.0
Azawakh,5.0
Pitador,5.0
Blue Lacy Dog,5.0
Afghan Hound,5.0
Dalmadoodle,5.0
Shollie,3.0
American Eskimo Dog,3.0
Boxer Mix,4.0
Cockalier,5.0
Comfort Retriever,5.0
Petit Basset Griffon Vendeen,5.0
Shiba Inu Mix,2.0
Vizsla,5.0
Poodle,5.0
Wire Fox Terrier,5.0
Yorkie Poo,1.0
American Bulldog,5.0
Shepadoodle,4.0
Miniature Husky,3.0
