Name,[features]
Asian Lady Beetle,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=0.0,queryMatchMigratory=0.0,queryMatchText=2.6234002,originalScore=3.9351003"
Rufous Hummingbird,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=0.7307947,queryMatchMigratory=0.002040609,queryMatchText=2.5779498,originalScore=3.8669248"
Ladybug,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=0.0,queryMatchMigratory=0.0,queryMatchText=2.5545,originalScore=3.8317504"
Cardinal,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=0.0,queryMatchMigratory=0.002040609,queryMatchText=2.5117664,originalScore=3.7676497"
Hornet,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=0.7470054,queryMatchMigratory=0.0,queryMatchText=2.5049977,originalScore=3.7574966"
Ruby Crowned Kinglet,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=0.0,queryMatchMigratory=0.002040609,queryMatchText=2.4738755,originalScore=3.7108133"
Cicada,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=3.5417125,queryMatchMigratory=0.0,queryMatchText=2.4733088,originalScore=3.709963"
Savannah Sparrow,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=0.0,queryMatchMigratory=0.0,queryMatchText=2.4687884,originalScore=3.7031827"
Kissing Bugs,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=1.5444056,queryMatchMigratory=0.0,queryMatchText=2.4687238,originalScore=3.7030854"
Northern Jacana,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=5.1527395,queryMatchMigratory=0.0,queryMatchText=2.467215,originalScore=3.7008228"
Western Tanager,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=3.732815,queryMatchMigratory=0.002040609,queryMatchText=2.4656055,originalScore=3.6984081"
Swainsons Hawk 2,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=0.7404356,queryMatchMigratory=0.002040609,queryMatchText=2.4409595,originalScore=3.6614394"
Scissor Tailed Flycatcher,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=0.0,queryMatchMigratory=0.002040609,queryMatchText=2.4408524,originalScore=3.6612785"
Xeme Sabines Gull,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=1.7117352,queryMatchMigratory=0.002040609,queryMatchText=2.438584,originalScore=3.6578763"
Locust,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=0.8577457,queryMatchMigratory=0.0,queryMatchText=2.4366565,originalScore=3.6549847"
Warbler,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=0.0,queryMatchMigratory=0.002040609,queryMatchText=2.42641,originalScore=3.639615"
Woodpecker,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=0.0,queryMatchMigratory=0.0,queryMatchText=2.408087,originalScore=3.6121304"
Purple Gallinule,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=1.5771148,queryMatchMigratory=0.002040609,queryMatchText=2.4066324,originalScore=3.6099486"
Flycatcher,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=0.8403423,queryMatchMigratory=0.0,queryMatchText=2.405729,originalScore=3.6085937"
Turkey,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=0.72763664,queryMatchMigratory=0.0,queryMatchText=2.3969066,originalScore=3.5953598"
Western Kingbird,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=1.9662263,queryMatchMigratory=0.002040609,queryMatchText=2.3909285,originalScore=3.5863926"
Summer Tanager,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=0.7339803,queryMatchMigratory=0.002040609,queryMatchText=2.3752346,originalScore=3.5628521"
American Dog Tick,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=0.0,queryMatchMigratory=0.0,queryMatchText=2.3622203,originalScore=3.5433304"
Green Snake,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=0.0,queryMatchMigratory=0.0,queryMatchText=2.3580863,originalScore=3.5371294"
Dinosaur Shrimp,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=1.5604982,queryMatchMigratory=0.0,queryMatchText=2.3571868,originalScore=3.5357804"
White Bass,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=3.8617103,queryMatchMigratory=0.0,queryMatchText=2.355752,originalScore=3.5336277"
Spider Wasp,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=0.84643126,queryMatchMigratory=0.0,queryMatchText=2.3546734,originalScore=3.53201"
Mealybug,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=0.743706,queryMatchMigratory=0.0,queryMatchText=2.3524327,originalScore=3.528649"
Woodlouse Spider,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=0.7371938,queryMatchMigratory=0.0,queryMatchText=2.3488832,originalScore=3.523325"
Barn Swallow,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=0.0,queryMatchMigratory=0.002040609,queryMatchText=2.344467,originalScore=3.5167003"
