Name,score
Peppered Moth,3.0
Sea Dragon,3.0
Masked Angelfish,0.0
Orchid Dottyback,5.0
Golden Masked Owl,0.0
Leaf Tailed Gecko,5.0
Decorator Crab,4.0
Underwing Moth,5.0
Tawny Frogmouth,4.0
Six Eyed Sand Spiders,3.0
Sable Ferret,0.0
Nightjar,4.0
Flounder Fish,5.0
Purple Emperor,4.0
Stick Insect,3.0
Treehopper,3.0
Masked Palm Civet,0.0
Common Yellowthroat,2.0
Great Potoo Bird,4.0
African Tree Toad,4.0
Katydid,4.0
Cuttlefish,5.0
Bobolink,3.0
Spiny Hill Turtle,4.0
Satanic Leaf Tailed Gecko,3.0
Leopard,2.0
Seahorse,5.0
Booby,0.0
Mantella Frog,4.0
Northern Bobwhite,3.0
