Name,score
Rhesus Macaque,0.0
Bilby,0.0
Dutch Shepherd,0.0
Briard,0.0
Agama Lizard,0.0
Japanese Squirrel,0.0
Husky,0.0
Woolly Monkey,0.0
Plott Hounds,0.0
Kooikerhondje,0.0
Tyrannosaurus Rex,0.0
Vampire Bat,0.0
Hokkaido,0.0
Saber Toothed Tiger,0.0
Muskrat,0.0
Coyote,0.0
Harp Seal,0.0
Cotton Top Tamarin,0.0
Double Doodle,0.0
Brown Headed Cowbird,0.0
Great White Shark,0.0
Deer,0.0
Zebu,0.0
Macaque,0.0
Lace Monitor,0.0
Collared Peccary,0.0
Mandrill,0.0
Korean Jindo,0.0
English Longhorn Cattle,0.0
Furrow Bee,0.0
