Name,[features]
Elf Owl,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=0.0,queryMatchMigratory=0.002040609,queryMatchText=4.7247434,originalScore=8.021694"
Leptocephalus,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=0.0,queryMatchMigratory=0.0,queryMatchText=3.9605167,originalScore=6.896016"
Mule Deer,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=2.9901295,queryMatchMigratory=0.002040609,queryMatchText=3.9647126,originalScore=6.8752337"
Spanish Mackerel,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=1.589226,queryMatchMigratory=0.0,queryMatchText=3.8824804,originalScore=6.7611723"
Black Witch Moth,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=0.0,queryMatchMigratory=0.0,queryMatchText=3.8620806,originalScore=6.719948"
Desert Kingsnake,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=0.0,queryMatchMigratory=0.0,queryMatchText=3.840353,originalScore=6.6916685"
Bronze Whaler Shark,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=0.0,queryMatchMigratory=0.0,queryMatchText=3.7314205,originalScore=6.5279765"
Sturgeon,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=0.0,queryMatchMigratory=0.0,queryMatchText=3.6050398,originalScore=6.362801"
Buffalo Fish,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=1.7498304,queryMatchFun_Fact=0.0,queryMatchMigratory=0.002040609,queryMatchText=3.6141782,originalScore=6.3495903"
Black Sea Bass,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=1.7498304,queryMatchFun_Fact=0.0,queryMatchMigratory=0.002040609,queryMatchText=3.2838697,originalScore=5.8672123"
Gopher,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=0.0,queryMatchMigratory=0.0,queryMatchText=3.270787,originalScore=5.844932"
Needlefish,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=4.2200546,queryMatchMigratory=0.0,queryMatchText=3.2351,originalScore=5.784298"
Yellowtail Snapper,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=1.769804,queryMatchMigratory=0.0,queryMatchText=3.236878,originalScore=5.7821436"
Ocean Whitefish,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=0.0,queryMatchMigratory=0.002040609,queryMatchText=3.216111,originalScore=5.7496047"
Mangrove Snapper,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=1.4785917,queryMatchMigratory=0.0,queryMatchText=3.1863594,originalScore=5.725759"
Viperfish,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=0.0,queryMatchMigratory=0.002040609,queryMatchText=3.1562479,originalScore=5.6611986"
Blue Catfish,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=0.0,queryMatchMigratory=0.0,queryMatchText=3.1160808,originalScore=5.6073184"
Elephant Seal,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=0.0,queryMatchMigratory=0.0,queryMatchText=3.104196,originalScore=5.601"
Striped Bass,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=1.7427293,queryMatchFun_Fact=4.1294966,queryMatchMigratory=0.002040609,queryMatchText=3.088642,originalScore=5.57748"
Bighorn Sheep,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=2.8836422,queryMatchMigratory=0.0,queryMatchText=3.0053718,originalScore=5.442736"
