Name,Kingdom,Phylum,Class,Order,Family,Genus,Scientific Name,Quote
Aardvark,Animalia,Chordata,Mammalia,Tubulidentata,Orycteropodidae,Orycteropus,Orycteropus afer,Can move up to 2ft of soil in just 15 seconds!
Aardwolf,Animalia,Chordata,Mammalia,Carnivora,Hyaenidae,Proteles,Proteles cristata,The aardwolf has five toes on its front paws
Abyssinian Guinea Pig,Animalia,Chordata,Mammalia,Rodentia,Caviidae,Cavia,Cavia porcellus,They are one of the oldest breeds of guinea pig
Abyssinian,Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,Felis catus,"The breed may be a mix of Burmese, Siamese, and Russian Blue."
Acadian Flycatcher,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax,Empidonax virescens,Their nests are sloppily held together and have an abandoned appearance
Achrioptera Manga,Animalia,Arthropoda,Insecta,Phasmatodea,Phasmatidae,Achrioptera,Achrioptera manga,"Unlike other species of stick insects, the Achrioptera manga's mating season is year-round and mating occurs regularly."
Ackie Monitor,Animalia,Chordata,Reptilia,Squamata,Varanidae,Varanus,Varanthus acanthurus,The ackie monitor has a spiny tail which it uses as in self-defense.
Addax,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Addax,Addax nasomaculatus,"The hooves of the addax are splayed and have flat, springy soles, one of the adaptations that help it walk over sand."
Adelie Penguin,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Pygoscelis,Pygoscelis adeliae,Eats up to 2kg of food per day!
Admiral Butterfly,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,,,"Admiral butterflies are named for their wing patterns, which resemble military insignia!"
Aesculapian,Animalia,Chordata,Reptilia,Squamata,Colubridae,Zamenis,Zamenis longissimus,
Affenpinscher,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,The German name Affenpinscher translates to monkey dog. This pup’s face is similar to a monkey’s!
Afghan Hound,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,"These dogs were originally bred for hunting purposes. They are one of the oldest dog breeds in the world, though they are now found in several rescue shelters around the world. They are known to be as fast as racehorses. The fur that covers these hounds keeps them very warm, though they can be shaved as well. Afghan Hounds have scent glands that usually produce a musky but not malodorous scent."
African Bullfrog,Animalia,Chordata,Amphibia,Anura,Pyxicephalidae,Pyxicephalus,Pyxicephalus adspersus,The African bullfrog is one of only three species of frog that have “teeth.”
African Bush Elephant,Animalia,Chordata,Mammalia,Proboscidea,Elephantidae,Loxodonta,Loxodonta africana africana,Can drink up to 50 gallons a day!
African Civet,Animalia,Chordata,Mammalia,Carnivora,Viverridae,Civettictis,Civettictis civetta,Secretes up to 4g of musk every week!
