N,Precision,Recall,F-Measure
1,1.0,0.2,0.33333333333333337
2,0.5,0.2,0.28571428571428575
3,0.3333333333333333,0.2,0.25
4,0.25,0.2,0.22222222222222224
5,0.2,0.2,0.20000000000000004
6,0.16666666666666666,0.2,0.1818181818181818
7,0.14285714285714285,0.2,0.16666666666666666
8,0.125,0.2,0.15384615384615385
9,0.1111111111111111,0.2,0.14285714285714285
10,0.1,0.2,0.13333333333333333
11,0.18181818181818182,0.4,0.25000000000000006
12,0.25,0.6,0.35294117647058826
13,0.23076923076923078,0.6,0.33333333333333337
14,0.2857142857142857,0.8,0.4210526315789473
15,0.3333333333333333,1.0,0.5
16,0.3125,1.0,0.47619047619047616
17,0.29411764705882354,1.0,0.45454545454545453
18,0.2777777777777778,1.0,0.4347826086956522
19,0.2631578947368421,1.0,0.4166666666666667
20,0.25,1.0,0.4
21,0.23809523809523808,1.0,0.3846153846153846
22,0.22727272727272727,1.0,0.37037037037037035
23,0.21739130434782608,1.0,0.3571428571428571
24,0.20833333333333334,1.0,0.3448275862068966
25,0.2,1.0,0.33333333333333337
26,0.19230769230769232,1.0,0.32258064516129037
27,0.18518518518518517,1.0,0.3125
28,0.17857142857142858,1.0,0.30303030303030304
29,0.1724137931034483,1.0,0.29411764705882354
30,0.16666666666666666,1.0,0.2857142857142857

