N,Precision,Recall,F-Measure
1,1.0,0.04,0.07692307692307693
2,1.0,0.08,0.14814814814814814
3,1.0,0.12,0.21428571428571425
4,1.0,0.16,0.2758620689655173
5,0.8,0.16,0.26666666666666666
6,0.8333333333333334,0.2,0.3225806451612903
7,0.8571428571428571,0.24,0.375
8,0.875,0.28,0.42424242424242425
9,0.8888888888888888,0.32,0.47058823529411764
10,0.9,0.36,0.5142857142857143
11,0.8181818181818182,0.36,0.5
12,0.8333333333333334,0.4,0.5405405405405406
13,0.8461538461538461,0.44,0.5789473684210525
14,0.7857142857142857,0.44,0.5641025641025641
15,0.8,0.48,0.6
16,0.8125,0.52,0.6341463414634146
17,0.8235294117647058,0.56,0.6666666666666666
18,0.8333333333333334,0.6,0.6976744186046512
19,0.8421052631578947,0.64,0.7272727272727272
20,0.8,0.64,0.7111111111111111
21,0.8095238095238095,0.68,0.7391304347826089
22,0.8181818181818182,0.72,0.7659574468085107
23,0.8260869565217391,0.76,0.7916666666666667
24,0.8333333333333334,0.8,0.816326530612245
25,0.8,0.8,0.8000000000000002
26,0.8076923076923077,0.84,0.8235294117647058
27,0.8148148148148148,0.88,0.8461538461538461
28,0.8214285714285714,0.92,0.8679245283018867
29,0.8275862068965517,0.96,0.888888888888889
30,0.8333333333333334,1.0,0.9090909090909091

