N,Precision,Recall,F-Measure
1,1.0,0.04,0.07692307692307693
2,1.0,0.08,0.14814814814814814
3,1.0,0.12,0.21428571428571425
4,1.0,0.16,0.2758620689655173
5,1.0,0.2,0.33333333333333337
6,1.0,0.24,0.3870967741935484
7,1.0,0.28,0.43750000000000006
8,1.0,0.32,0.48484848484848486
9,1.0,0.36,0.5294117647058824
10,1.0,0.4,0.5714285714285715
11,1.0,0.44,0.6111111111111112
12,0.9166666666666666,0.44,0.5945945945945945
13,0.9230769230769231,0.48,0.631578947368421
14,0.9285714285714286,0.52,0.6666666666666666
15,0.9333333333333333,0.56,0.7000000000000001
16,0.9375,0.6,0.7317073170731707
17,0.9411764705882353,0.64,0.7619047619047621
18,0.8888888888888888,0.64,0.7441860465116279
19,0.8947368421052632,0.68,0.7727272727272727
20,0.85,0.68,0.7555555555555556
21,0.8571428571428571,0.72,0.782608695652174
22,0.8636363636363636,0.76,0.8085106382978724
23,0.8695652173913043,0.8,0.8333333333333333
24,0.875,0.84,0.8571428571428572
25,0.84,0.84,0.8399999999999999
26,0.8461538461538461,0.88,0.8627450980392156
27,0.8518518518518519,0.92,0.8846153846153846
28,0.8571428571428571,0.96,0.9056603773584904
29,0.8620689655172413,1.0,0.9259259259259259
30,0.8333333333333334,1.0,0.9090909090909091

