N,Precision,Recall,F-Measure
1,1.0,0.05555555555555555,0.10526315789473684
2,1.0,0.1111111111111111,0.19999999999999998
3,1.0,0.16666666666666666,0.2857142857142857
4,1.0,0.2222222222222222,0.3636363636363636
5,1.0,0.2777777777777778,0.4347826086956522
6,0.8333333333333334,0.2777777777777778,0.4166666666666667
7,0.7142857142857143,0.2777777777777778,0.4
8,0.625,0.2777777777777778,0.3846153846153846
9,0.5555555555555556,0.2777777777777778,0.3703703703703704
10,0.5,0.2777777777777778,0.35714285714285715
11,0.5454545454545454,0.3333333333333333,0.41379310344827586
12,0.5833333333333334,0.3888888888888889,0.4666666666666666
13,0.6153846153846154,0.4444444444444444,0.5161290322580646
14,0.6428571428571429,0.5,0.5625000000000001
15,0.6666666666666666,0.5555555555555556,0.606060606060606
16,0.6875,0.6111111111111112,0.6470588235294118
17,0.7058823529411765,0.6666666666666666,0.6857142857142857
18,0.6666666666666666,0.6666666666666666,0.6666666666666666
19,0.6842105263157895,0.7222222222222222,0.7027027027027027
20,0.7,0.7777777777777778,0.7368421052631577
21,0.6666666666666666,0.7777777777777778,0.717948717948718
22,0.6363636363636364,0.7777777777777778,0.7000000000000001
23,0.6521739130434783,0.8333333333333334,0.7317073170731708
24,0.625,0.8333333333333334,0.7142857142857143
25,0.64,0.8888888888888888,0.7441860465116279
26,0.6153846153846154,0.8888888888888888,0.7272727272727274
27,0.5925925925925926,0.8888888888888888,0.711111111111111
28,0.6071428571428571,0.9444444444444444,0.7391304347826088
29,0.6206896551724138,1.0,0.7659574468085107
30,0.6,1.0,0.7499999999999999

