N,Precision,Recall,F-Measure
1,0.0,0.0,0
2,0.5,0.05263157894736842,0.09523809523809525
3,0.3333333333333333,0.05263157894736842,0.09090909090909091
4,0.5,0.10526315789473684,0.17391304347826086
5,0.4,0.10526315789473684,0.16666666666666666
6,0.3333333333333333,0.10526315789473684,0.16
7,0.42857142857142855,0.15789473684210525,0.23076923076923078
8,0.5,0.21052631578947367,0.2962962962962963
9,0.4444444444444444,0.21052631578947367,0.2857142857142857
10,0.5,0.2631578947368421,0.3448275862068966
11,0.5454545454545454,0.3157894736842105,0.39999999999999997
12,0.5833333333333334,0.3684210526315789,0.4516129032258065
13,0.6153846153846154,0.42105263157894735,0.5
14,0.6428571428571429,0.47368421052631576,0.5454545454545454
15,0.6666666666666666,0.5263157894736842,0.5882352941176471
16,0.6875,0.5789473684210527,0.6285714285714286
17,0.7058823529411765,0.631578947368421,0.6666666666666667
18,0.6666666666666666,0.631578947368421,0.6486486486486486
19,0.631578947368421,0.631578947368421,0.631578947368421
20,0.6,0.631578947368421,0.6153846153846154
21,0.6190476190476191,0.6842105263157895,0.6500000000000001
22,0.6363636363636364,0.7368421052631579,0.6829268292682926
23,0.6521739130434783,0.7894736842105263,0.7142857142857143
24,0.6666666666666666,0.8421052631578947,0.744186046511628
25,0.68,0.8947368421052632,0.7727272727272727
26,0.6538461538461539,0.8947368421052632,0.7555555555555555
27,0.6296296296296297,0.8947368421052632,0.7391304347826088
28,0.6428571428571429,0.9473684210526315,0.7659574468085106
29,0.6206896551724138,0.9473684210526315,0.75
30,0.6333333333333333,1.0,0.7755102040816326

