N,Precision,Recall,F-Measure
1,0.0,0.0,0
2,0.5,0.058823529411764705,0.10526315789473684
3,0.6666666666666666,0.11764705882352941,0.2
4,0.5,0.11764705882352941,0.19047619047619047
5,0.6,0.17647058823529413,0.2727272727272727
6,0.5,0.17647058823529413,0.2608695652173913
7,0.5714285714285714,0.23529411764705882,0.3333333333333333
8,0.625,0.29411764705882354,0.4
9,0.6666666666666666,0.35294117647058826,0.46153846153846156
10,0.6,0.35294117647058826,0.4444444444444445
11,0.6363636363636364,0.4117647058823529,0.5
12,0.6666666666666666,0.47058823529411764,0.5517241379310345
13,0.6923076923076923,0.5294117647058824,0.5999999999999999
14,0.6428571428571429,0.5294117647058824,0.5806451612903226
15,0.6666666666666666,0.5882352941176471,0.625
16,0.625,0.5882352941176471,0.6060606060606061
17,0.5882352941176471,0.5882352941176471,0.5882352941176471
18,0.5555555555555556,0.5882352941176471,0.5714285714285715
19,0.5789473684210527,0.6470588235294118,0.6111111111111113
20,0.6,0.7058823529411765,0.6486486486486486
21,0.6190476190476191,0.7647058823529411,0.6842105263157895
22,0.5909090909090909,0.7647058823529411,0.6666666666666667
23,0.5652173913043478,0.7647058823529411,0.65
24,0.5416666666666666,0.7647058823529411,0.6341463414634146
25,0.52,0.7647058823529411,0.6190476190476191
26,0.5384615384615384,0.8235294117647058,0.6511627906976744
27,0.5185185185185185,0.8235294117647058,0.6363636363636364
28,0.5357142857142857,0.8823529411764706,0.6666666666666667
29,0.5517241379310345,0.9411764705882353,0.6956521739130435
30,0.5666666666666667,1.0,0.7234042553191489

