N,Precision,Recall,F-Measure
1,1.0,0.047619047619047616,0.0909090909090909
2,1.0,0.09523809523809523,0.17391304347826084
3,0.6666666666666666,0.09523809523809523,0.16666666666666666
4,0.75,0.14285714285714285,0.24
5,0.8,0.19047619047619047,0.3076923076923077
6,0.6666666666666666,0.19047619047619047,0.2962962962962963
7,0.7142857142857143,0.23809523809523808,0.35714285714285715
8,0.75,0.2857142857142857,0.4137931034482759
9,0.7777777777777778,0.3333333333333333,0.4666666666666666
10,0.8,0.38095238095238093,0.5161290322580645
11,0.7272727272727273,0.38095238095238093,0.5
12,0.75,0.42857142857142855,0.5454545454545454
13,0.7692307692307693,0.47619047619047616,0.588235294117647
14,0.7857142857142857,0.5238095238095238,0.6285714285714286
15,0.8,0.5714285714285714,0.6666666666666666
16,0.75,0.5714285714285714,0.6486486486486486
17,0.7647058823529411,0.6190476190476191,0.6842105263157895
18,0.7777777777777778,0.6666666666666666,0.717948717948718
19,0.7368421052631579,0.6666666666666666,0.7
20,0.7,0.6666666666666666,0.6829268292682926
21,0.7142857142857143,0.7142857142857143,0.7142857142857143
22,0.7272727272727273,0.7619047619047619,0.7441860465116279
23,0.6956521739130435,0.7619047619047619,0.7272727272727272
24,0.6666666666666666,0.7619047619047619,0.7111111111111111
25,0.68,0.8095238095238095,0.7391304347826089
26,0.6923076923076923,0.8571428571428571,0.7659574468085107
27,0.7037037037037037,0.9047619047619048,0.7916666666666667
28,0.7142857142857143,0.9523809523809523,0.8163265306122449
29,0.7241379310344828,1.0,0.8400000000000001
30,0.7,1.0,0.8235294117647058

