N,Precision,Recall,F-Measure
1,1.0,0.0625,0.11764705882352941
2,1.0,0.125,0.2222222222222222
3,1.0,0.1875,0.3157894736842105
4,1.0,0.25,0.4
5,1.0,0.3125,0.47619047619047616
6,1.0,0.375,0.5454545454545454
7,1.0,0.4375,0.6086956521739131
8,1.0,0.5,0.6666666666666666
9,1.0,0.5625,0.72
10,1.0,0.625,0.7692307692307693
11,1.0,0.6875,0.8148148148148148
12,0.9166666666666666,0.6875,0.7857142857142857
13,0.8461538461538461,0.6875,0.7586206896551724
14,0.7857142857142857,0.6875,0.7333333333333334
15,0.8,0.75,0.7741935483870969
16,0.8125,0.8125,0.8125
17,0.8235294117647058,0.875,0.8484848484848485
18,0.8333333333333334,0.9375,0.8823529411764706
19,0.8421052631578947,1.0,0.9142857142857143
20,0.8,1.0,0.888888888888889
21,0.7619047619047619,1.0,0.8648648648648648
22,0.7272727272727273,1.0,0.8421052631578948
23,0.6956521739130435,1.0,0.8205128205128205
24,0.6666666666666666,1.0,0.8
25,0.64,1.0,0.7804878048780487
26,0.6153846153846154,1.0,0.761904761904762
27,0.5925925925925926,1.0,0.7441860465116279
28,0.5714285714285714,1.0,0.7272727272727273
29,0.5517241379310345,1.0,0.7111111111111111
30,0.5333333333333333,1.0,0.6956521739130436

