N,Precision,Recall,F-Measure
1,0.0,0.0,0
2,0.5,0.1111111111111111,0.1818181818181818
3,0.3333333333333333,0.1111111111111111,0.16666666666666666
4,0.25,0.1111111111111111,0.15384615384615383
5,0.2,0.1111111111111111,0.14285714285714285
6,0.16666666666666666,0.1111111111111111,0.13333333333333333
7,0.14285714285714285,0.1111111111111111,0.125
8,0.125,0.1111111111111111,0.11764705882352941
9,0.1111111111111111,0.1111111111111111,0.1111111111111111
10,0.2,0.2222222222222222,0.2105263157894737
11,0.2727272727272727,0.3333333333333333,0.3
12,0.3333333333333333,0.4444444444444444,0.380952380952381
13,0.3076923076923077,0.4444444444444444,0.3636363636363637
14,0.2857142857142857,0.4444444444444444,0.34782608695652173
15,0.26666666666666666,0.4444444444444444,0.33333333333333337
16,0.25,0.4444444444444444,0.32
17,0.29411764705882354,0.5555555555555556,0.3846153846153846
18,0.3333333333333333,0.6666666666666666,0.4444444444444444
19,0.3157894736842105,0.6666666666666666,0.42857142857142855
20,0.35,0.7777777777777778,0.48275862068965514
21,0.38095238095238093,0.8888888888888888,0.5333333333333333
22,0.36363636363636365,0.8888888888888888,0.5161290322580644
23,0.34782608695652173,0.8888888888888888,0.5
24,0.3333333333333333,0.8888888888888888,0.48484848484848486
25,0.32,0.8888888888888888,0.47058823529411764
26,0.34615384615384615,1.0,0.5142857142857142
27,0.3333333333333333,1.0,0.5
28,0.32142857142857145,1.0,0.4864864864864865
29,0.3103448275862069,1.0,0.4736842105263158
30,0.3,1.0,0.4615384615384615

