N,Precision,Recall,F-Measure
1,1.0,0.045454545454545456,0.08695652173913045
2,1.0,0.09090909090909091,0.16666666666666669
3,1.0,0.13636363636363635,0.24000000000000002
4,1.0,0.18181818181818182,0.3076923076923077
5,1.0,0.22727272727272727,0.37037037037037035
6,1.0,0.2727272727272727,0.42857142857142855
7,1.0,0.3181818181818182,0.4827586206896552
8,1.0,0.36363636363636365,0.5333333333333333
9,1.0,0.4090909090909091,0.5806451612903226
10,1.0,0.45454545454545453,0.625
11,1.0,0.5,0.6666666666666666
12,1.0,0.5454545454545454,0.7058823529411764
13,1.0,0.5909090909090909,0.7428571428571429
14,1.0,0.6363636363636364,0.7777777777777778
15,1.0,0.6818181818181818,0.8108108108108109
16,1.0,0.7272727272727273,0.8421052631578948
17,1.0,0.7727272727272727,0.8717948717948718
18,0.9444444444444444,0.7727272727272727,0.85
19,0.9473684210526315,0.8181818181818182,0.8780487804878049
20,0.95,0.8636363636363636,0.9047619047619048
21,0.9523809523809523,0.9090909090909091,0.9302325581395349
22,0.9545454545454546,0.9545454545454546,0.9545454545454546
23,0.9565217391304348,1.0,0.9777777777777777
24,0.9166666666666666,1.0,0.9565217391304348
25,0.88,1.0,0.9361702127659575
26,0.8461538461538461,1.0,0.9166666666666666
27,0.8148148148148148,1.0,0.8979591836734693
28,0.7857142857142857,1.0,0.88
29,0.7586206896551724,1.0,0.8627450980392156
30,0.7333333333333333,1.0,0.846153846153846

