N,Precision,Recall,F-Measure
1,1.0,0.058823529411764705,0.1111111111111111
2,1.0,0.11764705882352941,0.21052631578947367
3,0.6666666666666666,0.11764705882352941,0.2
4,0.5,0.11764705882352941,0.19047619047619047
5,0.6,0.17647058823529413,0.2727272727272727
6,0.6666666666666666,0.23529411764705882,0.3478260869565218
7,0.5714285714285714,0.23529411764705882,0.3333333333333333
8,0.5,0.23529411764705882,0.31999999999999995
9,0.5555555555555556,0.29411764705882354,0.3846153846153846
10,0.6,0.35294117647058826,0.4444444444444445
11,0.5454545454545454,0.35294117647058826,0.42857142857142855
12,0.5833333333333334,0.4117647058823529,0.4827586206896552
13,0.6153846153846154,0.47058823529411764,0.5333333333333333
14,0.5714285714285714,0.47058823529411764,0.5161290322580646
15,0.5333333333333333,0.47058823529411764,0.5
16,0.5,0.47058823529411764,0.48484848484848486
17,0.5294117647058824,0.5294117647058824,0.5294117647058824
18,0.5555555555555556,0.5882352941176471,0.5714285714285715
19,0.5789473684210527,0.6470588235294118,0.6111111111111113
20,0.6,0.7058823529411765,0.6486486486486486
21,0.6190476190476191,0.7647058823529411,0.6842105263157895
22,0.6363636363636364,0.8235294117647058,0.717948717948718
23,0.6086956521739131,0.8235294117647058,0.7
24,0.625,0.8823529411764706,0.7317073170731708
25,0.6,0.8823529411764706,0.7142857142857143
26,0.5769230769230769,0.8823529411764706,0.6976744186046512
27,0.5555555555555556,0.8823529411764706,0.6818181818181819
28,0.5714285714285714,0.9411764705882353,0.7111111111111111
29,0.5862068965517241,1.0,0.7391304347826086
30,0.5666666666666667,1.0,0.7234042553191489

