N,Precision,Recall,F-Measure
1,1.0,0.041666666666666664,0.07999999999999999
2,1.0,0.08333333333333333,0.15384615384615385
3,1.0,0.125,0.2222222222222222
4,1.0,0.16666666666666666,0.2857142857142857
5,1.0,0.20833333333333334,0.3448275862068966
6,1.0,0.25,0.4
7,0.8571428571428571,0.25,0.3870967741935483
8,0.875,0.2916666666666667,0.43750000000000006
9,0.8888888888888888,0.3333333333333333,0.48484848484848486
10,0.9,0.375,0.5294117647058825
11,0.9090909090909091,0.4166666666666667,0.5714285714285715
12,0.8333333333333334,0.4166666666666667,0.5555555555555556
13,0.7692307692307693,0.4166666666666667,0.5405405405405406
14,0.7142857142857143,0.4166666666666667,0.5263157894736842
15,0.7333333333333333,0.4583333333333333,0.5641025641025641
16,0.6875,0.4583333333333333,0.5499999999999999
17,0.6470588235294118,0.4583333333333333,0.5365853658536585
18,0.6666666666666666,0.5,0.5714285714285715
19,0.6842105263157895,0.5416666666666666,0.6046511627906976
20,0.7,0.5833333333333334,0.6363636363636365
21,0.7142857142857143,0.625,0.6666666666666666
22,0.7272727272727273,0.6666666666666666,0.6956521739130435
23,0.7391304347826086,0.7083333333333334,0.723404255319149
24,0.75,0.75,0.75
25,0.76,0.7916666666666666,0.7755102040816326
26,0.7692307692307693,0.8333333333333334,0.8
27,0.7777777777777778,0.875,0.823529411764706
28,0.7857142857142857,0.9166666666666666,0.8461538461538461
29,0.7931034482758621,0.9583333333333334,0.8679245283018867
30,0.8,1.0,0.888888888888889

