N,Precision,Recall,F-Measure
1,1.0,0.16666666666666666,0.2857142857142857
2,0.5,0.16666666666666666,0.25
3,0.6666666666666666,0.3333333333333333,0.4444444444444444
4,0.75,0.5,0.6
5,0.6,0.5,0.5454545454545454
6,0.5,0.5,0.5
7,0.42857142857142855,0.5,0.4615384615384615
8,0.375,0.5,0.42857142857142855
9,0.3333333333333333,0.5,0.4
10,0.4,0.6666666666666666,0.5
11,0.36363636363636365,0.6666666666666666,0.4705882352941177
12,0.3333333333333333,0.6666666666666666,0.4444444444444444
13,0.3076923076923077,0.6666666666666666,0.42105263157894735
14,0.2857142857142857,0.6666666666666666,0.4
15,0.26666666666666666,0.6666666666666666,0.3809523809523809
16,0.25,0.6666666666666666,0.36363636363636365
17,0.23529411764705882,0.6666666666666666,0.3478260869565218
18,0.2222222222222222,0.6666666666666666,0.3333333333333333
19,0.21052631578947367,0.6666666666666666,0.32
20,0.2,0.6666666666666666,0.30769230769230765
21,0.19047619047619047,0.6666666666666666,0.2962962962962963
22,0.22727272727272727,0.8333333333333334,0.35714285714285715
23,0.21739130434782608,0.8333333333333334,0.3448275862068966
24,0.20833333333333334,0.8333333333333334,0.33333333333333337
25,0.2,0.8333333333333334,0.3225806451612903
26,0.23076923076923078,1.0,0.375
27,0.2222222222222222,1.0,0.3636363636363636
28,0.21428571428571427,1.0,0.35294117647058826
29,0.20689655172413793,1.0,0.34285714285714286
30,0.2,1.0,0.33333333333333337

