N,Precision,Recall,F-Measure
1,0.0,0.0,0
2,0.0,0.0,0
3,0.0,0.0,0
4,0.0,0.0,0
5,0.0,0.0,0
6,0.0,0.0,0
7,0.0,0.0,0
8,0.0,0.0,0
9,0.0,0.0,0
10,0.0,0.0,0
11,0.0,0.0,0
12,0.08333333333333333,0.16666666666666666,0.1111111111111111
13,0.07692307692307693,0.16666666666666666,0.10526315789473684
14,0.07142857142857142,0.16666666666666666,0.1
15,0.06666666666666667,0.16666666666666666,0.09523809523809522
16,0.0625,0.16666666666666666,0.09090909090909091
17,0.058823529411764705,0.16666666666666666,0.08695652173913045
18,0.1111111111111111,0.3333333333333333,0.16666666666666666
19,0.15789473684210525,0.5,0.23999999999999996
20,0.15,0.5,0.23076923076923075
21,0.19047619047619047,0.6666666666666666,0.2962962962962963
22,0.18181818181818182,0.6666666666666666,0.28571428571428575
23,0.21739130434782608,0.8333333333333334,0.3448275862068966
24,0.20833333333333334,0.8333333333333334,0.33333333333333337
25,0.2,0.8333333333333334,0.3225806451612903
26,0.19230769230769232,0.8333333333333334,0.3125
27,0.18518518518518517,0.8333333333333334,0.303030303030303
28,0.17857142857142858,0.8333333333333334,0.29411764705882354
29,0.1724137931034483,0.8333333333333334,0.28571428571428575
30,0.2,1.0,0.33333333333333337

