N,Precision,Recall,F-Measure
1,1.0,0.047619047619047616,0.0909090909090909
2,1.0,0.09523809523809523,0.17391304347826084
3,1.0,0.14285714285714285,0.25
4,0.75,0.14285714285714285,0.24
5,0.8,0.19047619047619047,0.3076923076923077
6,0.8333333333333334,0.23809523809523808,0.37037037037037035
7,0.8571428571428571,0.2857142857142857,0.42857142857142855
8,0.875,0.3333333333333333,0.48275862068965514
9,0.8888888888888888,0.38095238095238093,0.5333333333333333
10,0.9,0.42857142857142855,0.5806451612903225
11,0.9090909090909091,0.47619047619047616,0.6249999999999999
12,0.9166666666666666,0.5238095238095238,0.6666666666666667
13,0.9230769230769231,0.5714285714285714,0.7058823529411765
14,0.9285714285714286,0.6190476190476191,0.742857142857143
15,0.9333333333333333,0.6666666666666666,0.7777777777777778
16,0.9375,0.7142857142857143,0.8108108108108109
17,0.8823529411764706,0.7142857142857143,0.7894736842105262
18,0.8888888888888888,0.7619047619047619,0.8205128205128205
19,0.8947368421052632,0.8095238095238095,0.8500000000000001
20,0.85,0.8095238095238095,0.8292682926829269
21,0.8095238095238095,0.8095238095238095,0.8095238095238095
22,0.7727272727272727,0.8095238095238095,0.7906976744186046
23,0.7391304347826086,0.8095238095238095,0.7727272727272727
24,0.75,0.8571428571428571,0.7999999999999999
25,0.72,0.8571428571428571,0.782608695652174
26,0.6923076923076923,0.8571428571428571,0.7659574468085107
27,0.7037037037037037,0.9047619047619048,0.7916666666666667
28,0.7142857142857143,0.9523809523809523,0.8163265306122449
29,0.7241379310344828,1.0,0.8400000000000001
30,0.7,1.0,0.8235294117647058

