N,Precision,Recall,F-Measure
1,1.0,0.045454545454545456,0.08695652173913045
2,1.0,0.09090909090909091,0.16666666666666669
3,1.0,0.13636363636363635,0.24000000000000002
4,1.0,0.18181818181818182,0.3076923076923077
5,1.0,0.22727272727272727,0.37037037037037035
6,1.0,0.2727272727272727,0.42857142857142855
7,0.8571428571428571,0.2727272727272727,0.41379310344827586
8,0.875,0.3181818181818182,0.4666666666666667
9,0.8888888888888888,0.36363636363636365,0.5161290322580644
10,0.8,0.36363636363636365,0.5000000000000001
11,0.8181818181818182,0.4090909090909091,0.5454545454545455
12,0.75,0.4090909090909091,0.5294117647058824
13,0.6923076923076923,0.4090909090909091,0.5142857142857142
14,0.7142857142857143,0.45454545454545453,0.5555555555555556
15,0.6666666666666666,0.45454545454545453,0.5405405405405405
16,0.625,0.45454545454545453,0.5263157894736842
17,0.6470588235294118,0.5,0.5641025641025642
18,0.6666666666666666,0.5454545454545454,0.6
19,0.6842105263157895,0.5909090909090909,0.6341463414634148
20,0.7,0.6363636363636364,0.6666666666666666
21,0.6666666666666666,0.6363636363636364,0.6511627906976744
22,0.6818181818181818,0.6818181818181818,0.6818181818181818
23,0.6956521739130435,0.7272727272727273,0.711111111111111
24,0.7083333333333334,0.7727272727272727,0.7391304347826088
25,0.72,0.8181818181818182,0.7659574468085107
26,0.7307692307692307,0.8636363636363636,0.7916666666666666
27,0.7037037037037037,0.8636363636363636,0.7755102040816326
28,0.7142857142857143,0.9090909090909091,0.8
29,0.7241379310344828,0.9545454545454546,0.823529411764706
30,0.7333333333333333,1.0,0.846153846153846

