N,Precision,Recall,F-Measure
1,1.0,0.041666666666666664,0.07999999999999999
2,1.0,0.08333333333333333,0.15384615384615385
3,1.0,0.125,0.2222222222222222
4,1.0,0.16666666666666666,0.2857142857142857
5,0.8,0.16666666666666666,0.27586206896551724
6,0.8333333333333334,0.20833333333333334,0.33333333333333337
7,0.7142857142857143,0.20833333333333334,0.3225806451612903
8,0.75,0.25,0.375
9,0.7777777777777778,0.2916666666666667,0.42424242424242425
10,0.8,0.3333333333333333,0.47058823529411764
11,0.7272727272727273,0.3333333333333333,0.4571428571428572
12,0.75,0.375,0.5
13,0.7692307692307693,0.4166666666666667,0.5405405405405406
14,0.7142857142857143,0.4166666666666667,0.5263157894736842
15,0.7333333333333333,0.4583333333333333,0.5641025641025641
16,0.75,0.5,0.6
17,0.7647058823529411,0.5416666666666666,0.6341463414634146
18,0.7777777777777778,0.5833333333333334,0.6666666666666666
19,0.7894736842105263,0.625,0.6976744186046512
20,0.8,0.6666666666666666,0.7272727272727272
21,0.8095238095238095,0.7083333333333334,0.7555555555555556
22,0.8181818181818182,0.75,0.7826086956521738
23,0.8260869565217391,0.7916666666666666,0.8085106382978724
24,0.7916666666666666,0.7916666666666666,0.7916666666666666
25,0.8,0.8333333333333334,0.816326530612245
26,0.8076923076923077,0.875,0.8400000000000001
27,0.7777777777777778,0.875,0.823529411764706
28,0.7857142857142857,0.9166666666666666,0.8461538461538461
29,0.7931034482758621,0.9583333333333334,0.8679245283018867
30,0.8,1.0,0.888888888888889

