N,Precision,Recall,F-Measure
1,0.0,0.0,0
2,0.5,0.058823529411764705,0.10526315789473684
3,0.6666666666666666,0.11764705882352941,0.2
4,0.5,0.11764705882352941,0.19047619047619047
5,0.6,0.17647058823529413,0.2727272727272727
6,0.5,0.17647058823529413,0.2608695652173913
7,0.5714285714285714,0.23529411764705882,0.3333333333333333
8,0.625,0.29411764705882354,0.4
9,0.6666666666666666,0.35294117647058826,0.46153846153846156
10,0.7,0.4117647058823529,0.5185185185185185
11,0.7272727272727273,0.47058823529411764,0.5714285714285714
12,0.75,0.5294117647058824,0.6206896551724139
13,0.6923076923076923,0.5294117647058824,0.5999999999999999
14,0.7142857142857143,0.5882352941176471,0.6451612903225806
15,0.7333333333333333,0.6470588235294118,0.6875
16,0.6875,0.6470588235294118,0.6666666666666667
17,0.6470588235294118,0.6470588235294118,0.6470588235294118
18,0.6666666666666666,0.7058823529411765,0.6857142857142857
19,0.6842105263157895,0.7647058823529411,0.7222222222222222
20,0.65,0.7647058823529411,0.7027027027027027
21,0.6190476190476191,0.7647058823529411,0.6842105263157895
22,0.6363636363636364,0.8235294117647058,0.717948717948718
23,0.6086956521739131,0.8235294117647058,0.7
24,0.625,0.8823529411764706,0.7317073170731708
25,0.6,0.8823529411764706,0.7142857142857143
26,0.6153846153846154,0.9411764705882353,0.744186046511628
27,0.5925925925925926,0.9411764705882353,0.7272727272727272
28,0.6071428571428571,1.0,0.7555555555555554
29,0.5862068965517241,1.0,0.7391304347826086
30,0.5666666666666667,1.0,0.7234042553191489
