N,Precision,Recall,F-Measure
1,0.0,0.0,0
2,0.0,0.0,0
3,0.0,0.0,0
4,0.0,0.0,0
5,0.0,0.0,0
6,0.0,0.0,0
7,0.0,0.0,0
8,0.0,0.0,0
9,0.1111111111111111,0.5,0.1818181818181818
10,0.2,1.0,0.33333333333333337
11,0.18181818181818182,1.0,0.3076923076923077
12,0.16666666666666666,1.0,0.2857142857142857
13,0.15384615384615385,1.0,0.2666666666666667
14,0.14285714285714285,1.0,0.25
15,0.13333333333333333,1.0,0.23529411764705882
16,0.125,1.0,0.2222222222222222
17,0.11764705882352941,1.0,0.21052631578947367
18,0.1111111111111111,1.0,0.19999999999999998
19,0.10526315789473684,1.0,0.1904761904761905
20,0.1,1.0,0.18181818181818182
21,0.09523809523809523,1.0,0.17391304347826084
22,0.09090909090909091,1.0,0.16666666666666669
23,0.08695652173913043,1.0,0.16
24,0.08333333333333333,1.0,0.15384615384615385
25,0.08,1.0,0.14814814814814814
26,0.07692307692307693,1.0,0.14285714285714288
27,0.07407407407407407,1.0,0.13793103448275862
28,0.07142857142857142,1.0,0.13333333333333333
29,0.06896551724137931,1.0,0.12903225806451613
30,0.06666666666666667,1.0,0.125

