N,Precision,Recall,F-Measure
1,1.0,0.05,0.09523809523809523
2,1.0,0.1,0.18181818181818182
3,1.0,0.15,0.2608695652173913
4,1.0,0.2,0.33333333333333337
5,1.0,0.25,0.4
6,1.0,0.3,0.4615384615384615
7,1.0,0.35,0.5185185185185185
8,1.0,0.4,0.5714285714285715
9,0.8888888888888888,0.4,0.5517241379310346
10,0.8,0.4,0.5333333333333333
11,0.8181818181818182,0.45,0.5806451612903226
12,0.8333333333333334,0.5,0.625
13,0.7692307692307693,0.5,0.6060606060606061
14,0.7857142857142857,0.55,0.6470588235294117
15,0.7333333333333333,0.55,0.6285714285714286
16,0.75,0.6,0.6666666666666665
17,0.7058823529411765,0.6,0.6486486486486486
18,0.7222222222222222,0.65,0.6842105263157895
19,0.7368421052631579,0.7,0.717948717948718
20,0.75,0.75,0.75
21,0.7619047619047619,0.8,0.7804878048780488
22,0.7272727272727273,0.8,0.761904761904762
23,0.6956521739130435,0.8,0.7441860465116279
24,0.7083333333333334,0.85,0.7727272727272727
25,0.72,0.9,0.7999999999999999
26,0.6923076923076923,0.9,0.7826086956521738
27,0.6666666666666666,0.9,0.7659574468085106
28,0.6428571428571429,0.9,0.75
29,0.6551724137931034,0.95,0.7755102040816326
30,0.6666666666666666,1.0,0.8

