N,Precision,Recall,F-Measure
1,0.0,0.0,0
2,0.5,0.06666666666666667,0.11764705882352941
3,0.6666666666666666,0.13333333333333333,0.2222222222222222
4,0.5,0.13333333333333333,0.2105263157894737
5,0.4,0.13333333333333333,0.2
6,0.5,0.2,0.28571428571428575
7,0.5714285714285714,0.26666666666666666,0.36363636363636365
8,0.5,0.26666666666666666,0.3478260869565218
9,0.4444444444444444,0.26666666666666666,0.33333333333333337
10,0.5,0.3333333333333333,0.4
11,0.45454545454545453,0.3333333333333333,0.3846153846153846
12,0.5,0.4,0.4444444444444445
13,0.5384615384615384,0.4666666666666667,0.5
14,0.5,0.4666666666666667,0.4827586206896552
15,0.4666666666666667,0.4666666666666667,0.4666666666666667
16,0.4375,0.4666666666666667,0.45161290322580644
17,0.47058823529411764,0.5333333333333333,0.5
18,0.4444444444444444,0.5333333333333333,0.4848484848484848
19,0.47368421052631576,0.6,0.5294117647058824
20,0.5,0.6666666666666666,0.5714285714285715
21,0.5238095238095238,0.7333333333333333,0.611111111111111
22,0.5,0.7333333333333333,0.5945945945945945
23,0.5217391304347826,0.8,0.6315789473684211
24,0.5,0.8,0.6153846153846154
25,0.48,0.8,0.6
26,0.46153846153846156,0.8,0.5853658536585367
27,0.48148148148148145,0.8666666666666667,0.6190476190476191
28,0.5,0.9333333333333333,0.6511627906976745
29,0.4827586206896552,0.9333333333333333,0.6363636363636364
30,0.5,1.0,0.6666666666666666

