N,Precision,Recall,F-Measure
1,1.0,0.125,0.2222222222222222
2,0.5,0.125,0.2
3,0.6666666666666666,0.25,0.36363636363636365
4,0.5,0.25,0.3333333333333333
5,0.4,0.25,0.3076923076923077
6,0.3333333333333333,0.25,0.28571428571428575
7,0.2857142857142857,0.25,0.26666666666666666
8,0.375,0.375,0.375
9,0.3333333333333333,0.375,0.35294117647058826
10,0.4,0.5,0.4444444444444445
11,0.36363636363636365,0.5,0.4210526315789474
12,0.3333333333333333,0.5,0.4
13,0.3076923076923077,0.5,0.380952380952381
14,0.2857142857142857,0.5,0.36363636363636365
15,0.26666666666666666,0.5,0.3478260869565218
16,0.25,0.5,0.3333333333333333
17,0.23529411764705882,0.5,0.31999999999999995
18,0.2777777777777778,0.625,0.3846153846153846
19,0.2631578947368421,0.625,0.37037037037037035
20,0.25,0.625,0.35714285714285715
21,0.23809523809523808,0.625,0.3448275862068965
22,0.22727272727272727,0.625,0.3333333333333333
23,0.21739130434782608,0.625,0.3225806451612903
24,0.25,0.75,0.375
25,0.24,0.75,0.36363636363636365
26,0.23076923076923078,0.75,0.3529411764705882
27,0.25925925925925924,0.875,0.39999999999999997
28,0.25,0.875,0.3888888888888889
29,0.27586206896551724,1.0,0.4324324324324324
30,0.26666666666666666,1.0,0.4210526315789474

